"driver_race","stop_date","stop_purpose","daily_num_stops","month","day","day_index","day_of_week","fri_sat","post_policy","dangerous_days","race","day_counter","dangerous_days2","date2","stop_purpose2"
"Black","2005-01-01","Radar Triggered",300,"1",1,1,"Saturday","Friday or Saturday",0,"New Year's","Black",0,"New Year's",2005-01-01,"Radar Triggered"
"Black","2005-01-01","Violation Observed",638,"1",1,1,"Saturday","Friday or Saturday",0,"New Year's","Black",0,"New Year's",2005-01-01,"Violation Observed"
"Black","2005-01-02","Radar Triggered",316,"1",2,2,"Sunday","Another day",0,"Other day","Black",1,NA,2005-01-02,"Radar Triggered"
"Black","2005-01-02","Violation Observed",403,"1",2,2,"Sunday","Another day",0,"Other day","Black",1,NA,2005-01-02,"Violation Observed"
"Black","2005-01-03","Radar Triggered",171,"1",3,3,"Monday","Another day",0,"Other day","Black",2,NA,2005-01-03,"Radar Triggered"
"Black","2005-01-03","Violation Observed",341,"1",3,3,"Monday","Another day",0,"Other day","Black",2,NA,2005-01-03,"Violation Observed"
"Black","2005-01-04","Radar Triggered",125,"1",4,4,"Tuesday","Another day",0,"Other day","Black",3,NA,2005-01-04,"Radar Triggered"
"Black","2005-01-04","Violation Observed",336,"1",4,4,"Tuesday","Another day",0,"Other day","Black",3,NA,2005-01-04,"Violation Observed"
"Black","2005-01-05","Radar Triggered",155,"1",5,5,"Wednesday","Another day",0,"Other day","Black",4,NA,2005-01-05,"Radar Triggered"
"Black","2005-01-05","Violation Observed",363,"1",5,5,"Wednesday","Another day",0,"Other day","Black",4,NA,2005-01-05,"Violation Observed"
"Black","2005-01-06","Radar Triggered",144,"1",6,6,"Thursday","Another day",0,"Other day","Black",5,NA,2005-01-06,"Radar Triggered"
"Black","2005-01-06","Violation Observed",266,"1",6,6,"Thursday","Another day",0,"Other day","Black",5,NA,2005-01-06,"Violation Observed"
"Black","2005-01-07","Radar Triggered",146,"1",7,7,"Friday","Friday or Saturday",0,"Other day","Black",6,NA,2005-01-07,"Radar Triggered"
"Black","2005-01-07","Violation Observed",377,"1",7,7,"Friday","Friday or Saturday",0,"Other day","Black",6,NA,2005-01-07,"Violation Observed"
"Black","2005-01-08","Radar Triggered",188,"1",8,8,"Saturday","Friday or Saturday",0,"Other day","Black",7,NA,2005-01-08,"Radar Triggered"
"Black","2005-01-08","Violation Observed",368,"1",8,8,"Saturday","Friday or Saturday",0,"Other day","Black",7,NA,2005-01-08,"Violation Observed"
"Black","2005-01-09","Radar Triggered",176,"1",9,9,"Sunday","Another day",0,"Other day","Black",8,NA,2005-01-09,"Radar Triggered"
"Black","2005-01-09","Violation Observed",240,"1",9,9,"Sunday","Another day",0,"Other day","Black",8,NA,2005-01-09,"Violation Observed"
"Black","2005-01-10","Radar Triggered",171,"1",10,10,"Monday","Another day",0,"Other day","Black",9,NA,2005-01-10,"Radar Triggered"
"Black","2005-01-10","Violation Observed",287,"1",10,10,"Monday","Another day",0,"Other day","Black",9,NA,2005-01-10,"Violation Observed"
"Black","2005-01-11","Radar Triggered",133,"1",11,11,"Tuesday","Another day",0,"Other day","Black",10,NA,2005-01-11,"Radar Triggered"
"Black","2005-01-11","Violation Observed",250,"1",11,11,"Tuesday","Another day",0,"Other day","Black",10,NA,2005-01-11,"Violation Observed"
"Black","2005-01-12","Radar Triggered",138,"1",12,12,"Wednesday","Another day",0,"Other day","Black",11,NA,2005-01-12,"Radar Triggered"
"Black","2005-01-12","Violation Observed",286,"1",12,12,"Wednesday","Another day",0,"Other day","Black",11,NA,2005-01-12,"Violation Observed"
"Black","2005-01-13","Radar Triggered",143,"1",13,13,"Thursday","Another day",0,"Other day","Black",12,NA,2005-01-13,"Radar Triggered"
"Black","2005-01-13","Violation Observed",234,"1",13,13,"Thursday","Another day",0,"Other day","Black",12,NA,2005-01-13,"Violation Observed"
"Black","2005-01-14","Radar Triggered",175,"1",14,14,"Friday","Friday or Saturday",0,"Other day","Black",13,NA,2005-01-14,"Radar Triggered"
"Black","2005-01-14","Violation Observed",315,"1",14,14,"Friday","Friday or Saturday",0,"Other day","Black",13,NA,2005-01-14,"Violation Observed"
"Black","2005-01-15","Radar Triggered",256,"1",15,15,"Saturday","Friday or Saturday",0,"Other day","Black",14,NA,2005-01-15,"Radar Triggered"
"Black","2005-01-15","Violation Observed",379,"1",15,15,"Saturday","Friday or Saturday",0,"Other day","Black",14,NA,2005-01-15,"Violation Observed"
"Black","2005-01-16","Radar Triggered",211,"1",16,16,"Sunday","Another day",0,"Other day","Black",15,NA,2005-01-16,"Radar Triggered"
